conversation_id,scenario,scenario_family,intent,customer_speaker,customer_gender,agent_speaker,agent_gender,customer_persona,agent_persona,num_turns,resolution_status,escalated,split
conv_0045,ACCOUNT_STATEMENT,Account Information,ACCOUNT_STATEMENT,ono_anna,female,dylan,male,Aditi,Arjun,8,resolved,False,train
conv_0046,CURRENCY_CONVERSION_QUERY,International Services,CURRENCY_CONVERSION_QUERY,sohee,female,aiden,male,Neha,Arjun,7,resolved,False,train
conv_0047,EMAIL_CHANGE,Profile Management,EMAIL_CHANGE,ryan,male,sohee,female,Vikram,Riya,9,resolved,False,train
conv_0048,PAYMENT_REVERSED,Payments,PAYMENT_REVERSED,sohee,female,ono_anna,female,Ananya,Pooja,8,resolved,False,train
conv_0049,OTP_NOT_RECEIVED,Authentication,OTP_NOT_RECEIVED,aiden,male,ono_anna,female,Rahul,Anita,8,resolved,False,train
conv_0050,REFUND_REQUEST,Refunds,REFUND_REQUEST,eric,male,sohee,female,Arjun,Anita,8,resolved,False,train
conv_0051,ACCOUNT_STATEMENT,Account Information,ACCOUNT_STATEMENT,uncle_fu,male,ono_anna,female,Vikram,Meera,8,resolved,False,train
conv_0052,BANK_TRANSFER_PENDING,Transfers,BANK_TRANSFER_PENDING,ryan,male,ono_anna,female,Nikhil,Meera,8,resolved,False,train
conv_0053,CARD_BLOCK,Card Security,CARD_BLOCK,ono_anna,female,dylan,male,Neha,Arjun,8,resolved,False,train
conv_0054,CARD_UNBLOCK,Card Security,CARD_UNBLOCK,uncle_fu,male,sohee,female,Rohan,Sneha,8,resolved,False,train
conv_0055,DUPLICATE_CHARGE,Payments,DUPLICATE_CHARGE,sohee,female,aiden,male,Priya,Rahul,8,resolved,False,train
conv_0056,INTEREST_RATE_QUERY,Account Information,INTEREST_RATE_QUERY,serena,female,sohee,female,Ananya,Riya,7,resolved,False,train
conv_0057,ACCOUNT_CLOSURE,Account Management,ACCOUNT_CLOSURE,uncle_fu,male,ryan,male,Aarav,Arjun,8,resolved,False,train
conv_0058,ACCOUNT_REOPENING,Account Management,ACCOUNT_REOPENING,dylan,male,ono_anna,female,Rohan,Aisha,8,resolved,False,train
conv_0059,CARD_UNBLOCK,Card Security,CARD_UNBLOCK,ono_anna,female,eric,male,Neha,Karan,8,resolved,False,train
conv_0060,CARD_LIMIT_DECREASE,Card Management,CARD_LIMIT_DECREASE,ryan,male,vivian,female,Rahul,Sneha,7,resolved,False,train
conv_0061,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,ono_anna,female,dylan,male,Priya,Vivek,9,resolved,False,train
conv_0062,CURRENCY_CONVERSION_QUERY,International Services,CURRENCY_CONVERSION_QUERY,dylan,male,sohee,female,Rahul,Anita,7,resolved,False,train
conv_0063,BENEFICIARY_ADD,Transfers,BENEFICIARY_ADD,vivian,female,eric,male,Sana,Karan,9,resolved,False,train
conv_0064,PAYMENT_PENDING,Payments,PAYMENT_PENDING,ryan,male,ono_anna,female,Rohan,Sneha,8,resolved,False,train
conv_0065,BENEFICIARY_ADD,Transfers,BENEFICIARY_ADD,eric,male,ono_anna,female,Rohan,Riya,9,resolved,False,train
conv_0066,PAYMENT_FAILED,Payments,PAYMENT_FAILED,ono_anna,female,uncle_fu,male,Sana,Vivek,8,resolved,False,train
conv_0067,MERCHANT_DISPUTE,Disputes,MERCHANT_DISPUTE,sohee,female,vivian,female,Ananya,Anita,8,resolved,False,train
conv_0068,BANK_TRANSFER_PENDING,Transfers,BANK_TRANSFER_PENDING,serena,female,sohee,female,Priya,Sneha,8,resolved,False,train
conv_0069,ACCOUNT_BALANCE_QUERY,Account Information,ACCOUNT_BALANCE_QUERY,ono_anna,female,serena,female,Fatima,Meera,7,resolved,False,train
conv_0070,INTEREST_RATE_QUERY,Account Information,INTEREST_RATE_QUERY,ryan,male,vivian,female,Rohan,Riya,7,resolved,False,train
conv_0071,CARD_PIN_RESET,Card Management,CARD_PIN_RESET,eric,male,sohee,female,Nikhil,Aisha,8,resolved,False,train
conv_0072,REWARD_POINTS_QUERY,Rewards,REWARD_POINTS_QUERY,eric,male,vivian,female,Rohan,Meera,7,resolved,False,train
conv_0073,EMAIL_CHANGE,Profile Management,EMAIL_CHANGE,ono_anna,female,ryan,male,Ananya,Arjun,9,resolved,False,train
conv_0074,MERCHANT_DISPUTE,Disputes,MERCHANT_DISPUTE,ono_anna,female,eric,male,Meera,Vivek,8,resolved,False,train
conv_0075,SUBSCRIPTION_CANCELLATION,Subscriptions,SUBSCRIPTION_CANCELLATION,uncle_fu,male,ono_anna,female,Arjun,Meera,8,resolved,False,train
conv_0076,FEE_CHARGED_QUERY,Fees,FEE_CHARGED_QUERY,serena,female,aiden,male,Priya,Rahul,8,resolved,False,train
conv_0077,CARD_BLOCK,Card Security,CARD_BLOCK,uncle_fu,male,vivian,female,Aarav,Riya,8,resolved,False,train
conv_0078,ACCOUNT_LOCKED,Authentication,ACCOUNT_LOCKED,eric,male,serena,female,Rahul,Aisha,8,resolved,False,train
conv_0079,UNRECOGNIZED_TRANSACTION,Fraud,UNRECOGNIZED_TRANSACTION,vivian,female,ono_anna,female,Priya,Aisha,8,resolved,False,train
conv_0080,FRAUD_DISPUTE,Fraud,FRAUD_DISPUTE,serena,female,ono_anna,female,Kavya,Anita,9,resolved,False,train
conv_0081,PAYMENT_FAILED,Payments,PAYMENT_FAILED,sohee,female,ono_anna,female,Fatima,Aisha,8,resolved,False,train
conv_0082,CARD_UNBLOCK,Card Security,CARD_UNBLOCK,aiden,male,sohee,female,Aarav,Sneha,8,resolved,False,train
conv_0083,BANK_TRANSFER_PENDING,Transfers,BANK_TRANSFER_PENDING,dylan,male,aiden,male,Ishaan,Arjun,8,resolved,False,train
conv_0084,BENEFICIARY_ADD,Transfers,BENEFICIARY_ADD,aiden,male,vivian,female,Ishaan,Sneha,9,resolved,False,train
conv_0085,ACCOUNT_TRANSACTION_HISTORY,Account Information,ACCOUNT_TRANSACTION_HISTORY,ono_anna,female,serena,female,Ananya,Sneha,7,resolved,False,train
conv_0086,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,uncle_fu,male,eric,male,Rahul,Vivek,9,resolved,False,train
conv_0087,BANK_TRANSFER_FAILED,Transfers,BANK_TRANSFER_FAILED,sohee,female,eric,male,Sana,Arjun,8,resolved,False,train
conv_0088,FOREIGN_TRANSACTION_QUERY,International Services,FOREIGN_TRANSACTION_QUERY,vivian,female,ono_anna,female,Ananya,Meera,7,resolved,False,train
conv_0089,PAYMENT_REVERSED,Payments,PAYMENT_REVERSED,vivian,female,dylan,male,Neha,Arjun,8,resolved,False,train
conv_0090,UNRECOGNIZED_TRANSACTION,Fraud,UNRECOGNIZED_TRANSACTION,eric,male,dylan,male,Nikhil,Rahul,8,resolved,False,train
conv_0091,REWARD_REDEMPTION,Rewards,REWARD_REDEMPTION,ryan,male,vivian,female,Aarav,Meera,8,resolved,False,train
conv_0092,CHARGEBACK_REQUEST,Disputes,CHARGEBACK_REQUEST,aiden,male,ono_anna,female,Aarav,Aisha,8,resolved,False,train
conv_0093,ACCOUNT_CLOSURE,Account Management,ACCOUNT_CLOSURE,vivian,female,serena,female,Aditi,Sneha,8,resolved,False,train
conv_0094,LOGIN_ISSUE,Authentication,LOGIN_ISSUE,uncle_fu,male,ono_anna,female,Rahul,Pooja,8,resolved,False,train
conv_0095,PHONE_NUMBER_CHANGE,Profile Management,PHONE_NUMBER_CHANGE,sohee,female,eric,male,Priya,Vivek,9,resolved,False,train
conv_0096,CARD_LIMIT_INCREASE,Card Management,CARD_LIMIT_INCREASE,uncle_fu,male,dylan,male,Arjun,Arjun,8,resolved,False,train
conv_0097,CURRENCY_CONVERSION_QUERY,International Services,CURRENCY_CONVERSION_QUERY,dylan,male,sohee,female,Nikhil,Riya,7,resolved,False,train
conv_0098,UNRECOGNIZED_TRANSACTION,Fraud,UNRECOGNIZED_TRANSACTION,ryan,male,serena,female,Rohan,Pooja,8,resolved,False,train
conv_0099,CHARGEBACK_REQUEST,Disputes,CHARGEBACK_REQUEST,ono_anna,female,serena,female,Kavya,Riya,8,resolved,False,train
conv_0100,CASHBACK_MISSING,Rewards,CASHBACK_MISSING,ryan,male,aiden,male,Aarav,Rahul,8,resolved,False,train
conv_0101,REFUND_REQUEST,Refunds,REFUND_REQUEST,sohee,female,ryan,male,Sana,Karan,8,resolved,False,train
conv_0102,CARD_REPLACEMENT,Card Management,CARD_REPLACEMENT,uncle_fu,male,vivian,female,Aarav,Aisha,10,resolved,False,train
conv_0103,PAYMENT_FAILED,Payments,PAYMENT_FAILED,dylan,male,uncle_fu,male,Vikram,Karan,8,resolved,False,train
conv_0104,CARD_LIMIT_DECREASE,Card Management,CARD_LIMIT_DECREASE,ono_anna,female,sohee,female,Meera,Pooja,7,resolved,False,train
conv_0105,REWARD_POINTS_QUERY,Rewards,REWARD_POINTS_QUERY,serena,female,sohee,female,Aditi,Anita,7,resolved,False,train
conv_0106,ACCOUNT_REOPENING,Account Management,ACCOUNT_REOPENING,dylan,male,eric,male,Arjun,Vivek,8,resolved,False,train
conv_0107,INTEREST_RATE_QUERY,Account Information,INTEREST_RATE_QUERY,uncle_fu,male,aiden,male,Vikram,Vivek,7,resolved,False,train
conv_0108,ACCOUNT_BALANCE_QUERY,Account Information,ACCOUNT_BALANCE_QUERY,ryan,male,eric,male,Ishaan,Vivek,7,resolved,False,train
conv_0109,PASSWORD_RESET,Authentication,PASSWORD_RESET,dylan,male,vivian,female,Rohan,Sneha,8,resolved,False,train
conv_0110,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,vivian,female,sohee,female,Kavya,Sneha,9,resolved,False,train
conv_0111,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,uncle_fu,male,ono_anna,female,Arjun,Sneha,9,resolved,False,train
conv_0112,BANK_TRANSFER_FAILED,Transfers,BANK_TRANSFER_FAILED,eric,male,dylan,male,Arjun,Rahul,8,resolved,False,train
conv_0113,EMAIL_CHANGE,Profile Management,EMAIL_CHANGE,aiden,male,sohee,female,Arjun,Pooja,9,resolved,False,train
conv_0114,ACCOUNT_BALANCE_QUERY,Account Information,ACCOUNT_BALANCE_QUERY,serena,female,sohee,female,Priya,Riya,7,resolved,False,train
conv_0115,PAYMENT_PENDING,Payments,PAYMENT_PENDING,uncle_fu,male,ryan,male,Vikram,Rahul,8,resolved,False,train
conv_0116,DUPLICATE_CHARGE,Payments,DUPLICATE_CHARGE,ono_anna,female,serena,female,Neha,Meera,8,resolved,False,train
conv_0117,EMAIL_CHANGE,Profile Management,EMAIL_CHANGE,eric,male,sohee,female,Rohan,Pooja,9,resolved,False,train
conv_0118,REFUND_NOT_RECEIVED,Refunds,REFUND_NOT_RECEIVED,sohee,female,serena,female,Kavya,Pooja,8,resolved,False,train
conv_0119,CARD_SECURITY_ALERT,Card Security,CARD_SECURITY_ALERT,ryan,male,ono_anna,female,Aarav,Anita,8,resolved,False,train
conv_0120,PAYMENT_CONFIRMATION,Payments,PAYMENT_CONFIRMATION,ono_anna,female,dylan,male,Neha,Rahul,7,resolved,False,train
conv_0121,LOGIN_ISSUE,Authentication,LOGIN_ISSUE,vivian,female,sohee,female,Ananya,Aisha,8,resolved,False,train
conv_0122,CASH_WITHDRAWAL_ISSUE,Cash Withdrawal,CASH_WITHDRAWAL_ISSUE,eric,male,ono_anna,female,Vikram,Sneha,10,resolved,False,train
conv_0123,BANK_TRANSFER_FAILED,Transfers,BANK_TRANSFER_FAILED,ono_anna,female,vivian,female,Meera,Sneha,8,resolved,False,train
conv_0124,CARD_ACTIVATION,Card Management,CARD_ACTIVATION,aiden,male,sohee,female,Rahul,Anita,8,resolved,False,train
conv_0125,ACCOUNT_BALANCE_QUERY,Account Information,ACCOUNT_BALANCE_QUERY,dylan,male,ono_anna,female,Nikhil,Meera,7,resolved,False,train
conv_0126,ACCOUNT_TRANSACTION_HISTORY,Account Information,ACCOUNT_TRANSACTION_HISTORY,ryan,male,serena,female,Rahul,Riya,7,resolved,False,train
conv_0127,PAYMENT_DUE_DATE_QUERY,Payments,PAYMENT_DUE_DATE_QUERY,serena,female,eric,male,Priya,Arjun,7,resolved,False,train
conv_0128,ACCOUNT_LOCKED,Authentication,ACCOUNT_LOCKED,ono_anna,female,aiden,male,Ananya,Rahul,8,resolved,False,train
conv_0129,BANK_TRANSFER_FAILED,Transfers,BANK_TRANSFER_FAILED,sohee,female,serena,female,Priya,Riya,8,resolved,False,train
conv_0130,CARD_SECURITY_ALERT,Card Security,CARD_SECURITY_ALERT,ryan,male,sohee,female,Nikhil,Sneha,8,resolved,False,train
conv_0131,CARD_SECURITY_ALERT,Card Security,CARD_SECURITY_ALERT,vivian,female,sohee,female,Fatima,Riya,8,resolved,False,train
conv_0132,SUBSCRIPTION_CANCELLATION,Subscriptions,SUBSCRIPTION_CANCELLATION,ryan,male,vivian,female,Nikhil,Riya,8,resolved,False,train
conv_0133,CASH_WITHDRAWAL_ISSUE,Cash Withdrawal,CASH_WITHDRAWAL_ISSUE,eric,male,sohee,female,Aarav,Sneha,10,resolved,False,train
conv_0134,FOREIGN_TRANSACTION_QUERY,International Services,FOREIGN_TRANSACTION_QUERY,eric,male,aiden,male,Arjun,Arjun,7,resolved,False,train
conv_0135,TRANSFER_CANCELLATION,Transfers,TRANSFER_CANCELLATION,uncle_fu,male,vivian,female,Vikram,Riya,8,resolved,False,train
conv_0136,PAYMENT_REVERSED,Payments,PAYMENT_REVERSED,vivian,female,ryan,male,Aditi,Rahul,8,resolved,False,train
conv_0137,PASSWORD_RESET,Authentication,PASSWORD_RESET,serena,female,vivian,female,Aditi,Anita,8,resolved,False,train
conv_0138,MERCHANT_DISPUTE,Disputes,MERCHANT_DISPUTE,sohee,female,vivian,female,Priya,Anita,8,resolved,False,train
conv_0139,CASHBACK_MISSING,Rewards,CASHBACK_MISSING,serena,female,uncle_fu,male,Ananya,Rahul,8,resolved,False,train
conv_0140,REWARD_REDEMPTION,Rewards,REWARD_REDEMPTION,uncle_fu,male,vivian,female,Ishaan,Anita,8,resolved,False,train
conv_0141,CARD_LIMIT_DECREASE,Card Management,CARD_LIMIT_DECREASE,dylan,male,serena,female,Nikhil,Aisha,7,resolved,False,train
conv_0142,OTP_NOT_RECEIVED,Authentication,OTP_NOT_RECEIVED,ryan,male,vivian,female,Vikram,Sneha,8,resolved,False,train
conv_0143,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,serena,female,uncle_fu,male,Sana,Vivek,9,resolved,False,train
conv_0144,PAYMENT_FAILED,Payments,PAYMENT_FAILED,sohee,female,uncle_fu,male,Kavya,Arjun,8,resolved,False,train
conv_0145,CARD_DELIVERY_STATUS,Card Delivery,CARD_DELIVERY_STATUS,ryan,male,vivian,female,Nikhil,Riya,8,resolved,False,train
conv_0146,REWARD_REDEMPTION,Rewards,REWARD_REDEMPTION,eric,male,ono_anna,female,Vikram,Anita,8,resolved,False,train
conv_0147,PAYMENT_PENDING,Payments,PAYMENT_PENDING,sohee,female,serena,female,Kavya,Riya,8,resolved,False,train
conv_0148,INTEREST_RATE_QUERY,Account Information,INTEREST_RATE_QUERY,aiden,male,uncle_fu,male,Ishaan,Vivek,7,resolved,False,train
conv_0149,PASSWORD_RESET,Authentication,PASSWORD_RESET,sohee,female,dylan,male,Fatima,Vivek,8,resolved,False,train
conv_0150,ACCOUNT_CLOSURE,Account Management,ACCOUNT_CLOSURE,serena,female,vivian,female,Aditi,Pooja,8,resolved,False,train
conv_0151,CARD_LIMIT_DECREASE,Card Management,CARD_LIMIT_DECREASE,ono_anna,female,uncle_fu,male,Aditi,Karan,7,resolved,False,train
conv_0152,DUPLICATE_CHARGE,Payments,DUPLICATE_CHARGE,uncle_fu,male,vivian,female,Rohan,Anita,8,resolved,False,train
conv_0153,CASHBACK_MISSING,Rewards,CASHBACK_MISSING,aiden,male,serena,female,Aarav,Meera,8,resolved,False,train
conv_0154,REWARD_POINTS_QUERY,Rewards,REWARD_POINTS_QUERY,sohee,female,dylan,male,Ananya,Karan,7,resolved,False,train
conv_0155,BENEFICIARY_ADD,Transfers,BENEFICIARY_ADD,aiden,male,uncle_fu,male,Nikhil,Arjun,9,resolved,False,train
conv_0156,EMAIL_CHANGE,Profile Management,EMAIL_CHANGE,sohee,female,vivian,female,Ananya,Sneha,9,resolved,False,train
conv_0157,EMAIL_CHANGE,Profile Management,EMAIL_CHANGE,uncle_fu,male,sohee,female,Arjun,Pooja,9,resolved,False,train
conv_0158,ACCOUNT_STATEMENT,Account Information,ACCOUNT_STATEMENT,sohee,female,ono_anna,female,Sana,Riya,8,resolved,False,train
conv_0159,ACCOUNT_TRANSACTION_HISTORY,Account Information,ACCOUNT_TRANSACTION_HISTORY,dylan,male,aiden,male,Arjun,Rahul,7,resolved,False,train
conv_0160,ACCOUNT_STATEMENT,Account Information,ACCOUNT_STATEMENT,vivian,female,ono_anna,female,Fatima,Pooja,8,resolved,False,train
conv_0161,CARD_PIN_RESET,Card Management,CARD_PIN_RESET,aiden,male,ono_anna,female,Ishaan,Sneha,8,resolved,False,train
conv_0162,CARD_ACTIVATION,Card Management,CARD_ACTIVATION,ryan,male,ono_anna,female,Ishaan,Anita,8,resolved,False,train
conv_0163,CARD_SECURITY_ALERT,Card Security,CARD_SECURITY_ALERT,sohee,female,eric,male,Meera,Rahul,8,resolved,False,train
conv_0164,UNRECOGNIZED_TRANSACTION,Fraud,UNRECOGNIZED_TRANSACTION,serena,female,sohee,female,Aditi,Riya,8,resolved,False,train
conv_0165,PAYMENT_CONFIRMATION,Payments,PAYMENT_CONFIRMATION,ono_anna,female,vivian,female,Sana,Meera,7,resolved,False,train
conv_0166,FEE_CHARGED_QUERY,Fees,FEE_CHARGED_QUERY,ono_anna,female,sohee,female,Meera,Aisha,8,resolved,False,train
conv_0167,PASSWORD_RESET,Authentication,PASSWORD_RESET,uncle_fu,male,ryan,male,Vikram,Karan,8,resolved,False,train
conv_0168,FOREIGN_TRANSACTION_QUERY,International Services,FOREIGN_TRANSACTION_QUERY,dylan,male,ryan,male,Ishaan,Vivek,7,resolved,False,train
conv_0169,CARD_UNBLOCK,Card Security,CARD_UNBLOCK,vivian,female,uncle_fu,male,Ananya,Vivek,8,resolved,False,train
conv_0170,PHONE_NUMBER_CHANGE,Profile Management,PHONE_NUMBER_CHANGE,vivian,female,sohee,female,Ananya,Aisha,9,resolved,False,train
conv_0171,PHONE_NUMBER_CHANGE,Profile Management,PHONE_NUMBER_CHANGE,sohee,female,ono_anna,female,Neha,Pooja,9,resolved,False,train
conv_0172,CARD_LIMIT_INCREASE,Card Management,CARD_LIMIT_INCREASE,serena,female,sohee,female,Priya,Aisha,8,resolved,False,train
conv_0173,CARD_LIMIT_INCREASE,Card Management,CARD_LIMIT_INCREASE,ryan,male,dylan,male,Vikram,Arjun,8,resolved,False,train
conv_0174,CARD_REPLACEMENT,Card Management,CARD_REPLACEMENT,eric,male,dylan,male,Nikhil,Karan,10,resolved,False,train
conv_0175,REFUND_NOT_RECEIVED,Refunds,REFUND_NOT_RECEIVED,sohee,female,ono_anna,female,Fatima,Sneha,8,resolved,False,train
conv_0176,ACCOUNT_BALANCE_QUERY,Account Information,ACCOUNT_BALANCE_QUERY,sohee,female,dylan,male,Sana,Karan,7,resolved,False,train
conv_0177,FOREIGN_TRANSACTION_QUERY,International Services,FOREIGN_TRANSACTION_QUERY,uncle_fu,male,vivian,female,Aarav,Anita,7,resolved,False,train
conv_0178,MERCHANT_DISPUTE,Disputes,MERCHANT_DISPUTE,eric,male,vivian,female,Nikhil,Riya,8,resolved,False,train
conv_0179,FOREIGN_TRANSACTION_QUERY,International Services,FOREIGN_TRANSACTION_QUERY,serena,female,sohee,female,Sana,Aisha,7,resolved,False,train
conv_0180,MERCHANT_DISPUTE,Disputes,MERCHANT_DISPUTE,vivian,female,ono_anna,female,Kavya,Meera,8,resolved,False,train
conv_0181,REWARD_REDEMPTION,Rewards,REWARD_REDEMPTION,vivian,female,sohee,female,Kavya,Riya,8,resolved,False,train
conv_0182,OTP_NOT_RECEIVED,Authentication,OTP_NOT_RECEIVED,sohee,female,serena,female,Fatima,Sneha,8,resolved,False,train
conv_0183,PAYMENT_REVERSED,Payments,PAYMENT_REVERSED,serena,female,ono_anna,female,Aditi,Aisha,8,resolved,False,train
conv_0184,REFUND_NOT_RECEIVED,Refunds,REFUND_NOT_RECEIVED,ryan,male,vivian,female,Arjun,Sneha,8,resolved,False,train
conv_0185,PAYMENT_FAILED,Payments,PAYMENT_FAILED,ono_anna,female,vivian,female,Priya,Anita,8,resolved,False,train
conv_0186,FOREIGN_TRANSACTION_QUERY,International Services,FOREIGN_TRANSACTION_QUERY,vivian,female,serena,female,Kavya,Aisha,7,resolved,False,train
conv_0187,PASSWORD_RESET,Authentication,PASSWORD_RESET,dylan,male,uncle_fu,male,Vikram,Karan,8,resolved,False,train
conv_0188,REFUND_PENDING,Refunds,REFUND_PENDING,vivian,female,serena,female,Sana,Riya,8,resolved,False,train
